term,coef_sbv,coef_synthdrive,pct_diff
Intercept,-3.580816,-4.318592,-20.6
cage_c,-0.072306,-0.073035,-1.01
commercial,0.218228,0.428006,96.13
credit_c,-0.306709,-0.358207,-16.79
farmer,-0.382922,-0.536504,-40.11
log_accel_c,0.034759,0.139321,300.82
log_brake_c,0.462023,0.338616,-26.71
log_miles_c,0.314382,0.272848,-13.21
male,0.024004,-0.030117,-225.47
pct_c,2.441939,2.498689,2.32
senior,0.048517,0.002335,-95.19
single,-0.029106,0.056711,294.84
young,0.426331,0.474756,11.36
